REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,Census-family households,2.1.2,535,,540,,142000,,110000,,125000,,97000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,Households consisting of only one census family without additional persons,2.1.3,345,,375,,112000,,97000,,98000,,84000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,"One couple, with or without children in their census family",2.1.4,305,,340,,120000,,99000,,102000,,86000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,Without children,2.1.5,145,,145,,99000,,89000,,84000,,78500,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,With children,2.1.6,160,,200,,141000,,107000,,123000,,92000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,One one-parent census family,2.1.7,45,,35,,71500,,59600,,66000,,54400,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,With a parent that is a man+,2.1.8,10,,5,,,x,,x,,x,,x
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,With a parent that is a woman+,2.1.9,30,,25,,69500,,59200,,64500,,54000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,Other census family households,2.1.10,190,,170,,202000,,164000,,182000,,147000,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,Total - Households by household size,Non-census family households,2.1.11,120,,110,,48000,,45600,,44800,,42400,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Total – Household type including census family structure,2.2.1,100,,75,,45600,,43600,,40000,,37200,
2021,0001.00 - Abbotsford - Mission,2021S05079320001.00,1 person,Census-family households,2.2.2,0,,0,,0,...,0,...,0,...,0,...
